"Label (Grouping)","Census Tract 1.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1.02, Suffolk County, Massachusetts!!Estimate","Census Tract 2.01, Suffolk County, Massachusetts!!Estimate","Census Tract 2.02, Suffolk County, Massachusetts!!Estimate","Census Tract 3.01, Suffolk County, Massachusetts!!Estimate","Census Tract 3.02, Suffolk County, Massachusetts!!Estimate","Census Tract 4.01, Suffolk County, Massachusetts!!Estimate","Census Tract 4.02, Suffolk County, Massachusetts!!Estimate","Census Tract 5.02, Suffolk County, Massachusetts!!Estimate","Census Tract 5.03, Suffolk County, Massachusetts!!Estimate","Census Tract 5.05, Suffolk County, Massachusetts!!Estimate","Census Tract 5.06, Suffolk County, Massachusetts!!Estimate","Census Tract 6.01, Suffolk County, Massachusetts!!Estimate","Census Tract 6.03, Suffolk County, Massachusetts!!Estimate","Census Tract 6.04, Suffolk County, Massachusetts!!Estimate","Census Tract 7.01, Suffolk County, Massachusetts!!Estimate","Census Tract 7.03, Suffolk County, Massachusetts!!Estimate","Census Tract 7.04, Suffolk County, Massachusetts!!Estimate","Census Tract 8.04, Suffolk County, Massachusetts!!Estimate","Census Tract 8.05, Suffolk County, Massachusetts!!Estimate","Census Tract 8.06, Suffolk County, Massachusetts!!Estimate","Census Tract 8.07, Suffolk County, Massachusetts!!Estimate","Census Tract 101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 101.04, Suffolk County, Massachusetts!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Estimate","Census Tract 107.01, Suffolk County, Massachusetts!!Estimate","Census Tract 107.02, Suffolk County, Massachusetts!!Estimate","Census Tract 108.01, Suffolk County, Massachusetts!!Estimate","Census Tract 108.02, Suffolk County, Massachusetts!!Estimate","Census Tract 201.01, Suffolk County, Massachusetts!!Estimate","Census Tract 202, Suffolk County, Massachusetts!!Estimate","Census Tract 203.01, Suffolk County, Massachusetts!!Estimate","Census Tract 203.02, Suffolk County, Massachusetts!!Estimate","Census Tract 203.04, Suffolk County, Massachusetts!!Estimate","Census Tract 203.05, Suffolk County, Massachusetts!!Estimate","Census Tract 301, Suffolk County, Massachusetts!!Estimate","Census Tract 302, Suffolk County, Massachusetts!!Estimate","Census Tract 303.01, Suffolk County, Massachusetts!!Estimate","Census Tract 303.02, Suffolk County, Massachusetts!!Estimate","Census Tract 304, Suffolk County, Massachusetts!!Estimate","Census Tract 305, Suffolk County, Massachusetts!!Estimate","Census Tract 401, Suffolk County, Massachusetts!!Estimate","Census Tract 402, Suffolk County, Massachusetts!!Estimate","Census Tract 403, Suffolk County, Massachusetts!!Estimate","Census Tract 404.01, Suffolk County, Massachusetts!!Estimate","Census Tract 406, Suffolk County, Massachusetts!!Estimate","Census Tract 408.01, Suffolk County, Massachusetts!!Estimate","Census Tract 501.01, Suffolk County, Massachusetts!!Estimate","Census Tract 502, Suffolk County, Massachusetts!!Estimate","Census Tract 503, Suffolk County, Massachusetts!!Estimate","Census Tract 504, Suffolk County, Massachusetts!!Estimate","Census Tract 505, Suffolk County, Massachusetts!!Estimate","Census Tract 506, Suffolk County, Massachusetts!!Estimate","Census Tract 507, Suffolk County, Massachusetts!!Estimate","Census Tract 509.01, Suffolk County, Massachusetts!!Estimate","Census Tract 510, Suffolk County, Massachusetts!!Estimate","Census Tract 511.01, Suffolk County, Massachusetts!!Estimate","Census Tract 512, Suffolk County, Massachusetts!!Estimate","Census Tract 601.01, Suffolk County, Massachusetts!!Estimate","Census Tract 602, Suffolk County, Massachusetts!!Estimate","Census Tract 603.01, Suffolk County, Massachusetts!!Estimate","Census Tract 604, Suffolk County, Massachusetts!!Estimate","Census Tract 605.01, Suffolk County, Massachusetts!!Estimate","Census Tract 606.01, Suffolk County, Massachusetts!!Estimate","Census Tract 606.02, Suffolk County, Massachusetts!!Estimate","Census Tract 606.03, Suffolk County, Massachusetts!!Estimate","Census Tract 606.04, Suffolk County, Massachusetts!!Estimate","Census Tract 607, Suffolk County, Massachusetts!!Estimate","Census Tract 608, Suffolk County, Massachusetts!!Estimate","Census Tract 610, Suffolk County, Massachusetts!!Estimate","Census Tract 611.01, Suffolk County, Massachusetts!!Estimate","Census Tract 612.01, Suffolk County, Massachusetts!!Estimate","Census Tract 612.02, Suffolk County, Massachusetts!!Estimate","Census Tract 612.03, Suffolk County, Massachusetts!!Estimate","Census Tract 612.04, Suffolk County, Massachusetts!!Estimate","Census Tract 701.02, Suffolk County, Massachusetts!!Estimate","Census Tract 701.03, Suffolk County, Massachusetts!!Estimate","Census Tract 701.04, Suffolk County, Massachusetts!!Estimate","Census Tract 702.01, Suffolk County, Massachusetts!!Estimate","Census Tract 702.02, Suffolk County, Massachusetts!!Estimate","Census Tract 703.01, Suffolk County, Massachusetts!!Estimate","Census Tract 703.02, Suffolk County, Massachusetts!!Estimate","Census Tract 704.02, Suffolk County, Massachusetts!!Estimate","Census Tract 705.01, Suffolk County, Massachusetts!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Estimate","Census Tract 712.01, Suffolk County, Massachusetts!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Estimate","Census Tract 810.01, Suffolk County, Massachusetts!!Estimate","Census Tract 811.01, Suffolk County, Massachusetts!!Estimate","Census Tract 811.02, Suffolk County, Massachusetts!!Estimate","Census Tract 812, Suffolk County, Massachusetts!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Estimate","Census Tract 909.01, Suffolk County, Massachusetts!!Estimate","Census Tract 910.01, Suffolk County, Massachusetts!!Estimate","Census Tract 911, Suffolk County, Massachusetts!!Estimate","Census Tract 912, Suffolk County, Massachusetts!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Estimate","Census Tract 915, Suffolk County, Massachusetts!!Estimate","Census Tract 916, Suffolk County, Massachusetts!!Estimate","Census Tract 917, Suffolk County, Massachusetts!!Estimate","Census Tract 918, Suffolk County, Massachusetts!!Estimate","Census Tract 919, Suffolk County, Massachusetts!!Estimate","Census Tract 920, Suffolk County, Massachusetts!!Estimate","Census Tract 921.01, Suffolk County, Massachusetts!!Estimate","Census Tract 922, Suffolk County, Massachusetts!!Estimate","Census Tract 923, Suffolk County, Massachusetts!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Estimate","Census Tract 1001, Suffolk County, Massachusetts!!Estimate","Census Tract 1002, Suffolk County, Massachusetts!!Estimate","Census Tract 1003, Suffolk County, Massachusetts!!Estimate","Census Tract 1004, Suffolk County, Massachusetts!!Estimate","Census Tract 1005, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1007, Suffolk County, Massachusetts!!Estimate","Census Tract 1008, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.06, Suffolk County, Massachusetts!!Estimate","Census Tract 1102.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1103.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1104.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1104.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1105.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1105.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1106.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1106.07, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1204, Suffolk County, Massachusetts!!Estimate","Census Tract 1205, Suffolk County, Massachusetts!!Estimate","Census Tract 1206, Suffolk County, Massachusetts!!Estimate","Census Tract 1207, Suffolk County, Massachusetts!!Estimate","Census Tract 1301.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1302, Suffolk County, Massachusetts!!Estimate","Census Tract 1303, Suffolk County, Massachusetts!!Estimate","Census Tract 1304.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1304.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1304.06, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.06, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.07, Suffolk County, Massachusetts!!Estimate","Census Tract 1402.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1402.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1403, Suffolk County, Massachusetts!!Estimate","Census Tract 1404, Suffolk County, Massachusetts!!Estimate","Census Tract 1601.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1601.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1602, Suffolk County, Massachusetts!!Estimate","Census Tract 1603, Suffolk County, Massachusetts!!Estimate","Census Tract 1604, Suffolk County, Massachusetts!!Estimate","Census Tract 1605.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1605.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1606.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1606.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1701.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1701.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1702, Suffolk County, Massachusetts!!Estimate","Census Tract 1703.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1703.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1704, Suffolk County, Massachusetts!!Estimate","Census Tract 1705.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1705.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1705.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1706.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1707.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1707.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1708, Suffolk County, Massachusetts!!Estimate","Census Tract 1801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1802, Suffolk County, Massachusetts!!Estimate","Census Tract 1803.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1804, Suffolk County, Massachusetts!!Estimate","Census Tract 1805, Suffolk County, Massachusetts!!Estimate","Census Tract 9801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Estimate","Census Tract 9807, Suffolk County, Massachusetts!!Estimate","Census Tract 9809, Suffolk County, Massachusetts!!Estimate","Census Tract 9810, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9812.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9812.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9813, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9816, Suffolk County, Massachusetts!!Estimate","Census Tract 9817, Suffolk County, Massachusetts!!Estimate","Census Tract 9818, Suffolk County, Massachusetts!!Estimate","Census Tract 9819, Suffolk County, Massachusetts!!Estimate","Census Tract 9901.01, Suffolk County, Massachusetts!!Estimate"
"Total:","127,188","105,131","106,364","78,567","106,637","94,304","92,869","134,342","118,500","117,768","79,375","110,607","133,819","-","85,625","74,693","151,172","91,458","-","-","97,820","-","250,000+","154,545","81,853","148,158","44,701","94,250","49,879","57,250","50,307","109,196","65,927","204,844","250,000+","230,350","250,000+","250,000+","250,000+","198,875","171,286","250,000+","250,000+","200,735","108,056","157,143","157,960","250,000+","197,292","178,393","250,000+","139,375","166,413","168,807","208,346","132,452","79,315","55,179","67,284","64,671","116,641","60,388","54,363","59,643","91,339","70,000","107,703","185,833","149,474","161,776","166,500","152,206","243,382","243,636","196,071","234,118","31,131","207,992","-","12,772","-","-","204,435","250,000+","94,732","42,308","250,000+","-","58,672","250,000+","250,000+","37,250","200,694","47,797","250,000+","139,531","225,000","166,708","-","205,833","81,887","65,893","48,536","52,250","25,625","48,074","32,772","33,750","-","37,208","98,224","105,922","27,500","-","31,866","105,500","69,491","52,228","68,367","84,472","96,771","28,542","34,450","62,939","43,420","73,456","66,210","132,750","32,042","78,171","135,486","59,185","43,500","54,091","68,313","84,728","56,335","66,974","59,375","68,065","57,424","95,905","74,375","50,109","41,414","61,371","69,803","101,250","87,083","89,225","122,878","155,296","110,705","107,563","95,729","47,317","85,463","61,591","25,797","159,063","-","92,685","99,063","93,929","138,623","133,235","117,292","210,800","154,698","221,875","116,667","220,417","122,201","119,042","181,842","94,926","175,536","151,201","158,000","166,500","163,958","149,060","106,453","49,773","113,933","96,685","60,489","105,114","104,188","140,417","82,475","76,591","68,836","47,730","43,809","134,432","62,426","86,200","55,000","101,161","64,500","78,250","84,071","49,750","109,727","86,546","110,655","104,000","119,643","120,917","94,477","92,292","46,537","74,940","105,227","102,386","126,250","134,397","101,350","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"    No earners (dollars)","-","25,806","35,156","-","105,880","-","5,934","24,583","18,188","-","-","-","-","-","-","73,073","-","-","-","-","-","-","-","-","-","-","-","-","35,893","9,063","15,577","-","7,986","-","-","-","146,875","250,000+","250,000+","-","82,045","-","-","38,292","-","-","118,364","-","63,542","-","250,000+","-","-","70,204","-","13,438","-","37,542","-","29,107","-","-","-","52,344","-","-","-","-","-","-","74,675","75,833","2,500-","-","-","-","10,375","-","2,500-","9,440","-","-","-","-","8,949","-","2,500-","15,266","-","-","2,500-","23,438","-","25,293","-","16,034","-","-","-","-","9,483","2,500-","-","2,500-","16,349","9,924","-","11,370","-","2,500-","-","-","6,875","11,723","9,946","-","-","11,922","-","-","5,360","20,856","9,057","-","-","-","-","-","2,500-","-","-","2,500-","-","13,531","-","-","-","2,500-","-","-","-","-","19,107","-","-","-","17,679","-","49,639","-","83,333","95,227","-","-","46,194","35,625","-","13,042","-","-","43,907","22,784","-","-","69,904","-","44,028","111,250","-","-","97,721","-","2,500-","105,417","80,881","-","-","-","-","113,333","126,458","53,041","57,500","-","-","39,375","22,882","55,473","88,529","49,766","18,107","-","-","2,500-","-","-","26,458","-","15,101","-","11,618","40,343","31,917","13,333","-","-","39,412","36,296","-","-","65,329","29,833","14,179","-","83,828","78,194","69,219","-","72,813","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"    1 earner (dollars)","213,208","-","39,779","25,588","91,923","56,058","63,229","72,813","100,917","47,500","-","85,556","117,969","-","-","54,943","-","65,842","46,898","-","66,875","-","-","-","-","-","-","-","47,581","-","50,471","84,583","-","157,031","250,000+","250,000+","250,000+","250,000+","250,000+","145,903","170,714","-","-","200,993","-","-","206,875","-","231,250","250,000+","250,000+","44,310","158,333","-","124,719","-","44,948","32,872","-","48,333","44,128","34,191","47,460","48,839","-","47,143","87,813","83,527","102,292","48,558","-","157,292","-","-","100,515","250,000+","35,288","-","26,538","-","-","-","-","-","-","39,573","250,000+","250,000+","36,667","250,000+","250,000+","28,889","-","35,556","250,000+","-","-","-","-","-","81,958","76,068","31,000","-","16,611","39,118","33,641","-","-","34,500","-","-","15,988","-","32,481","49,730","53,095","40,500","40,417","55,987","80,190","22,264","29,559","44,250","32,159","22,824","53,750","64,911","-","77,513","66,150","16,942","33,278","40,192","53,281","32,909","56,905","42,560","54,311","39,798","35,956","44,659","42,772","31,904","30,263","-","35,694","17,245","42,325","44,954","84,076","109,028","-","89,792","35,882","36,330","50,417","37,250","26,638","72,171","106,458","45,188","86,250","57,188","98,250","67,083","48,654","122,857","146,630","147,019","106,141","99,286","86,761","91,923","131,154","28,083","-","150,390","131,354","115,357","117,857","76,689","70,236","37,547","107,917","64,327","23,170","68,798","53,015","78,082","21,009","64,817","65,143","40,606","28,377","118,625","38,720","29,489","25,859","66,571","22,462","46,918","63,929","46,159","84,271","-","55,625","-","-","96,042","68,705","53,523","40,917","66,705","57,375","57,330","101,250","95,536","84,352","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"    2 earners (dollars)","117,007","105,313","130,991","106,121","97,344","155,000","117,938","134,911","149,643","124,236","-","188,317","149,018","-","160,809","112,969","151,719","125,317","98,269","-","98,663","-","250,000+","190,865","81,078","176,902","-","94,250","200,144","87,813","65,333","117,188","-","250,000+","250,000+","230,357","233,333","250,000+","250,000+","246,500","172,024","250,000+","250,000+","232,885","-","155,536","234,896","250,000+","222,375","162,500","243,984","186,820","212,650","250,000+","238,056","250,000+","78,304","71,102","93,611","-","120,486","61,336","43,704","61,250","107,328","80,875","104,643","233,654","159,338","182,045","205,531","182,330","250,000+","244,545","250,000+","234,044","57,000","208,368","250,000+","34,833","250,000+","-","203,871","178,021","250,000+","-","250,000+","235,536","-","250,000+","250,000+","144,063","200,694","250,000+","250,000+","188,661","-","190,982","-","250,000+","160,500","-","54,236","72,750","49,205","66,200","-","80,272","74,890","56,659","118,571","106,198","125,588","118,125","-","146,635","71,347","84,010","79,762","108,625","105,781","-","54,792","64,531","82,765","82,875","76,979","167,031","67,000","223,393","156,979","87,188","58,846","78,715","78,913","94,250","47,500","100,625","59,770","72,381","90,183","139,464","89,291","57,292","53,947","85,750","86,944","105,186","113,264","112,550","132,125","157,467","141,319","97,022","111,045","76,111","99,500","56,643","-","169,091","154,257","94,653","115,441","142,500","161,875","141,167","167,628","212,150","178,417","222,115","207,750","250,000+","156,458","152,614","204,226","164,167","180,588","211,563","158,438","195,469","178,347","161,833","127,455","115,164","109,091","100,870","126,500","177,672","115,375","173,802","85,051","80,225","81,797","70,732","63,894","141,563","69,226","83,162","77,931","94,531","80,250","160,601","99,583","52,090","111,062","86,760","121,250","134,659","155,170","104,605","94,795","103,047","46,988","79,621","126,875","111,830","153,542","168,523","150,807","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"    3 or more earners (dollars)","199,219","118,537","-","210,592","142,143","79,911","-","250,000+","-","-","-","-","133,224","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","250,000+","-","-","250,000+","-","-","-","-","-","-","-","-","-","-","-","-","-","121,360","-","-","92,344","144,301","173,105","-","-","93,814","111,071","77,333","58,971","117,102","109,526","250,000+","162,188","188,274","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","63,375","-","-","-","250,000+","-","-","-","-","-","-","107,125","143,594","110,132","-","106,125","81,790","-","83,063","-","-","-","-","-","116,758","83,362","-","89,306","220,737","-","129,217","119,706","-","-","135,341","169,625","250,000+","89,886","120,532","137,257","198,088","141,339","-","126,250","176,369","144,643","108,125","155,417","115,625","-","125,294","90,313","115,735","138,500","105,278","137,313","195,000","101,179","150,688","124,913","206,458","169,861","161,875","135,833","131,667","-","140,446","-","-","-","180,987","205,658","176,333","158,750","185,588","137,813","250,000+","159,276","250,000+","250,000+","250,000+","-","250,000+","250,000+","129,306","-","-","246,466","193,269","227,361","250,000+","135,481","-","118,813","138,304","98,125","152,679","145,313","171,548","161,275","146,875","135,607","175,339","122,946","-","-","129,243","120,135","129,068","113,869","141,250","127,926","147,344","123,081","114,540","121,906","167,083","133,992","157,656","145,662","188,889","-","184,727","138,693","208,056","109,904","159,250","157,396","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
