Census Tract,Value,Total,Income in the past 12 months below poverty level,Married-couple family below poverty,Married-couple family below poverty: 2 people,Married-couple family below poverty: 3 to 4 people,Married-couple family below poverty: 5 to 6 people,Married-couple family below poverty: 7 or more people,Other families below poverty,"Male householder, no spouse present below poverty",Male householder below poverty: 2 people,Male householder below poverty: 3 to 4 people,Male householder below poverty: 5 to 6 people,Male householder below poverty: 7 or more people,"Female householder, no spouse present below poverty",Female householder below poverty: 2 people,Female householder below poverty: 3 to 4 people,Female householder below poverty: 5 to 6 people,Female householder below poverty: 7 or more people,Income in the past 12 months at or above poverty level,Married-couple family above poverty,Married-couple family above poverty: 2 people,Married-couple family above poverty: 3 to 4 people,Married-couple family above poverty: 5 to 6 people,Married-couple family above poverty: 7 or more people,Other families above poverty,"Male householder, no spouse present above poverty",Male householder above poverty: 2 people,Male householder above poverty: 3 to 4 people,Male householder above poverty: 5 to 6 people,Male householder above poverty: 7 or more people,"Female householder, no spouse present above poverty",Female householder above poverty: 2 people,Female householder above poverty: 3 to 4 people,Female householder above poverty: 5 to 6 people,Female householder above poverty: 7 or more people
1.01,Estimate,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,166,35,89,42,0,25,0,0,0,0,0,25,13,12,0,0
1.01,Margin of Error,61,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,61,55,29,51,48,13,30,13,13,13,13,13,30,22,21,13,13
1.02,Estimate,611,83,0,0,0,0,0,83,4,0,4,0,0,79,12,67,0,0,528,450,204,211,35,0,78,20,20,0,0,0,58,58,0,0,0
1.02,Margin of Error,130,57,13,13,13,13,13,57,15,13,15,13,13,56,20,56,13,13,121,115,119,84,34,13,63,25,25,13,13,13,60,60,13,13,13
2.01,Estimate,682,79,79,7,0,0,72,0,0,0,0,0,0,0,0,0,0,0,603,478,237,185,44,12,125,62,0,62,0,0,63,51,12,0,0
2.01,Margin of Error,159,101,101,12,13,13,99,13,13,13,13,13,13,13,13,13,13,13,140,130,118,66,34,20,97,95,13,95,13,13,45,40,17,13,13
2.02,Estimate,723,149,44,2,24,6,12,105,0,0,0,0,0,105,41,64,0,0,574,375,111,225,39,0,199,18,10,8,0,0,181,90,91,0,0
2.02,Margin of Error,141,75,47,7,35,20,19,67,13,13,13,13,13,67,38,62,13,13,148,118,49,106,48,13,96,19,16,15,13,13,89,72,62,13,13
3.01,Estimate,379,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,225,122,78,25,0,136,7,0,7,0,0,129,129,0,0,0
3.01,Margin of Error,145,27,27,27,13,13,13,13,13,13,13,13,13,13,13,13,13,13,138,80,63,49,17,13,124,11,13,11,13,13,123,123,13,13,13
3.02,Estimate,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,568,336,232,0,0,194,91,76,15,0,0,103,67,10,26,0
