"Label (Grouping)","Census Tract 1.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1.02, Suffolk County, Massachusetts!!Estimate","Census Tract 2.01, Suffolk County, Massachusetts!!Estimate","Census Tract 2.02, Suffolk County, Massachusetts!!Estimate","Census Tract 3.01, Suffolk County, Massachusetts!!Estimate","Census Tract 3.02, Suffolk County, Massachusetts!!Estimate","Census Tract 4.01, Suffolk County, Massachusetts!!Estimate","Census Tract 4.02, Suffolk County, Massachusetts!!Estimate","Census Tract 5.02, Suffolk County, Massachusetts!!Estimate","Census Tract 5.03, Suffolk County, Massachusetts!!Estimate","Census Tract 5.05, Suffolk County, Massachusetts!!Estimate","Census Tract 5.06, Suffolk County, Massachusetts!!Estimate","Census Tract 6.01, Suffolk County, Massachusetts!!Estimate","Census Tract 6.03, Suffolk County, Massachusetts!!Estimate","Census Tract 6.04, Suffolk County, Massachusetts!!Estimate","Census Tract 7.01, Suffolk County, Massachusetts!!Estimate","Census Tract 7.03, Suffolk County, Massachusetts!!Estimate","Census Tract 7.04, Suffolk County, Massachusetts!!Estimate","Census Tract 8.04, Suffolk County, Massachusetts!!Estimate","Census Tract 8.05, Suffolk County, Massachusetts!!Estimate","Census Tract 8.06, Suffolk County, Massachusetts!!Estimate","Census Tract 8.07, Suffolk County, Massachusetts!!Estimate","Census Tract 101.03, Suffolk County, Massachusetts!!Estimate","Census Tract 101.04, Suffolk County, Massachusetts!!Estimate","Census Tract 102.04, Suffolk County, Massachusetts!!Estimate","Census Tract 102.05, Suffolk County, Massachusetts!!Estimate","Census Tract 102.06, Suffolk County, Massachusetts!!Estimate","Census Tract 103, Suffolk County, Massachusetts!!Estimate","Census Tract 104.03, Suffolk County, Massachusetts!!Estimate","Census Tract 104.04, Suffolk County, Massachusetts!!Estimate","Census Tract 104.05, Suffolk County, Massachusetts!!Estimate","Census Tract 104.08, Suffolk County, Massachusetts!!Estimate","Census Tract 105, Suffolk County, Massachusetts!!Estimate","Census Tract 106, Suffolk County, Massachusetts!!Estimate","Census Tract 107.01, Suffolk County, Massachusetts!!Estimate","Census Tract 107.02, Suffolk County, Massachusetts!!Estimate","Census Tract 108.01, Suffolk County, Massachusetts!!Estimate","Census Tract 108.02, Suffolk County, Massachusetts!!Estimate","Census Tract 201.01, Suffolk County, Massachusetts!!Estimate","Census Tract 202, Suffolk County, Massachusetts!!Estimate","Census Tract 203.01, Suffolk County, Massachusetts!!Estimate","Census Tract 203.02, Suffolk County, Massachusetts!!Estimate","Census Tract 203.04, Suffolk County, Massachusetts!!Estimate","Census Tract 203.05, Suffolk County, Massachusetts!!Estimate","Census Tract 301, Suffolk County, Massachusetts!!Estimate","Census Tract 302, Suffolk County, Massachusetts!!Estimate","Census Tract 303.01, Suffolk County, Massachusetts!!Estimate","Census Tract 303.02, Suffolk County, Massachusetts!!Estimate","Census Tract 304, Suffolk County, Massachusetts!!Estimate","Census Tract 305, Suffolk County, Massachusetts!!Estimate","Census Tract 401, Suffolk County, Massachusetts!!Estimate","Census Tract 402, Suffolk County, Massachusetts!!Estimate","Census Tract 403, Suffolk County, Massachusetts!!Estimate","Census Tract 404.01, Suffolk County, Massachusetts!!Estimate","Census Tract 406, Suffolk County, Massachusetts!!Estimate","Census Tract 408.01, Suffolk County, Massachusetts!!Estimate","Census Tract 501.01, Suffolk County, Massachusetts!!Estimate","Census Tract 502, Suffolk County, Massachusetts!!Estimate","Census Tract 503, Suffolk County, Massachusetts!!Estimate","Census Tract 504, Suffolk County, Massachusetts!!Estimate","Census Tract 505, Suffolk County, Massachusetts!!Estimate","Census Tract 506, Suffolk County, Massachusetts!!Estimate","Census Tract 507, Suffolk County, Massachusetts!!Estimate","Census Tract 509.01, Suffolk County, Massachusetts!!Estimate","Census Tract 510, Suffolk County, Massachusetts!!Estimate","Census Tract 511.01, Suffolk County, Massachusetts!!Estimate","Census Tract 512, Suffolk County, Massachusetts!!Estimate","Census Tract 601.01, Suffolk County, Massachusetts!!Estimate","Census Tract 602, Suffolk County, Massachusetts!!Estimate","Census Tract 603.01, Suffolk County, Massachusetts!!Estimate","Census Tract 604, Suffolk County, Massachusetts!!Estimate","Census Tract 605.01, Suffolk County, Massachusetts!!Estimate","Census Tract 606.01, Suffolk County, Massachusetts!!Estimate","Census Tract 606.02, Suffolk County, Massachusetts!!Estimate","Census Tract 606.03, Suffolk County, Massachusetts!!Estimate","Census Tract 606.04, Suffolk County, Massachusetts!!Estimate","Census Tract 607, Suffolk County, Massachusetts!!Estimate","Census Tract 608, Suffolk County, Massachusetts!!Estimate","Census Tract 610, Suffolk County, Massachusetts!!Estimate","Census Tract 611.01, Suffolk County, Massachusetts!!Estimate","Census Tract 612.01, Suffolk County, Massachusetts!!Estimate","Census Tract 612.02, Suffolk County, Massachusetts!!Estimate","Census Tract 612.03, Suffolk County, Massachusetts!!Estimate","Census Tract 612.04, Suffolk County, Massachusetts!!Estimate","Census Tract 701.02, Suffolk County, Massachusetts!!Estimate","Census Tract 701.03, Suffolk County, Massachusetts!!Estimate","Census Tract 701.04, Suffolk County, Massachusetts!!Estimate","Census Tract 702.01, Suffolk County, Massachusetts!!Estimate","Census Tract 702.02, Suffolk County, Massachusetts!!Estimate","Census Tract 703.01, Suffolk County, Massachusetts!!Estimate","Census Tract 703.02, Suffolk County, Massachusetts!!Estimate","Census Tract 704.02, Suffolk County, Massachusetts!!Estimate","Census Tract 705.01, Suffolk County, Massachusetts!!Estimate","Census Tract 705.02, Suffolk County, Massachusetts!!Estimate","Census Tract 706, Suffolk County, Massachusetts!!Estimate","Census Tract 707, Suffolk County, Massachusetts!!Estimate","Census Tract 708.01, Suffolk County, Massachusetts!!Estimate","Census Tract 708.02, Suffolk County, Massachusetts!!Estimate","Census Tract 709.01, Suffolk County, Massachusetts!!Estimate","Census Tract 709.02, Suffolk County, Massachusetts!!Estimate","Census Tract 711.01, Suffolk County, Massachusetts!!Estimate","Census Tract 712.01, Suffolk County, Massachusetts!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Estimate","Census Tract 808.01, Suffolk County, Massachusetts!!Estimate","Census Tract 809, Suffolk County, Massachusetts!!Estimate","Census Tract 810.01, Suffolk County, Massachusetts!!Estimate","Census Tract 811.01, Suffolk County, Massachusetts!!Estimate","Census Tract 811.02, Suffolk County, Massachusetts!!Estimate","Census Tract 812, Suffolk County, Massachusetts!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Estimate","Census Tract 817, Suffolk County, Massachusetts!!Estimate","Census Tract 818, Suffolk County, Massachusetts!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Estimate","Census Tract 821, Suffolk County, Massachusetts!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Estimate","Census Tract 903, Suffolk County, Massachusetts!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Estimate","Census Tract 906, Suffolk County, Massachusetts!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Estimate","Census Tract 909.01, Suffolk County, Massachusetts!!Estimate","Census Tract 910.01, Suffolk County, Massachusetts!!Estimate","Census Tract 911, Suffolk County, Massachusetts!!Estimate","Census Tract 912, Suffolk County, Massachusetts!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Estimate","Census Tract 915, Suffolk County, Massachusetts!!Estimate","Census Tract 916, Suffolk County, Massachusetts!!Estimate","Census Tract 917, Suffolk County, Massachusetts!!Estimate","Census Tract 918, Suffolk County, Massachusetts!!Estimate","Census Tract 919, Suffolk County, Massachusetts!!Estimate","Census Tract 920, Suffolk County, Massachusetts!!Estimate","Census Tract 921.01, Suffolk County, Massachusetts!!Estimate","Census Tract 922, Suffolk County, Massachusetts!!Estimate","Census Tract 923, Suffolk County, Massachusetts!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Estimate","Census Tract 1001, Suffolk County, Massachusetts!!Estimate","Census Tract 1002, Suffolk County, Massachusetts!!Estimate","Census Tract 1003, Suffolk County, Massachusetts!!Estimate","Census Tract 1004, Suffolk County, Massachusetts!!Estimate","Census Tract 1005, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1007, Suffolk County, Massachusetts!!Estimate","Census Tract 1008, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1101.06, Suffolk County, Massachusetts!!Estimate","Census Tract 1102.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1103.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1104.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1104.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1105.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1105.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1106.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1106.07, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1201.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1202.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1203.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1204, Suffolk County, Massachusetts!!Estimate","Census Tract 1205, Suffolk County, Massachusetts!!Estimate","Census Tract 1206, Suffolk County, Massachusetts!!Estimate","Census Tract 1207, Suffolk County, Massachusetts!!Estimate","Census Tract 1301.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1302, Suffolk County, Massachusetts!!Estimate","Census Tract 1303, Suffolk County, Massachusetts!!Estimate","Census Tract 1304.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1304.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1304.06, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.05, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.06, Suffolk County, Massachusetts!!Estimate","Census Tract 1401.07, Suffolk County, Massachusetts!!Estimate","Census Tract 1402.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1402.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1403, Suffolk County, Massachusetts!!Estimate","Census Tract 1404, Suffolk County, Massachusetts!!Estimate","Census Tract 1601.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1601.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1602, Suffolk County, Massachusetts!!Estimate","Census Tract 1603, Suffolk County, Massachusetts!!Estimate","Census Tract 1604, Suffolk County, Massachusetts!!Estimate","Census Tract 1605.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1605.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1606.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1606.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1701.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1701.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1702, Suffolk County, Massachusetts!!Estimate","Census Tract 1703.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1703.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1704, Suffolk County, Massachusetts!!Estimate","Census Tract 1705.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1705.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1705.04, Suffolk County, Massachusetts!!Estimate","Census Tract 1706.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1707.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1707.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1708, Suffolk County, Massachusetts!!Estimate","Census Tract 1801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1802, Suffolk County, Massachusetts!!Estimate","Census Tract 1803.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1804, Suffolk County, Massachusetts!!Estimate","Census Tract 1805, Suffolk County, Massachusetts!!Estimate","Census Tract 9801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Estimate","Census Tract 9807, Suffolk County, Massachusetts!!Estimate","Census Tract 9809, Suffolk County, Massachusetts!!Estimate","Census Tract 9810, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9812.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9812.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9813, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9816, Suffolk County, Massachusetts!!Estimate","Census Tract 9817, Suffolk County, Massachusetts!!Estimate","Census Tract 9818, Suffolk County, Massachusetts!!Estimate","Census Tract 9819, Suffolk County, Massachusetts!!Estimate","Census Tract 9901.01, Suffolk County, Massachusetts!!Estimate"
"Aggregate family income in the past 12 months (in 2021 inflation-adjusted dollars):","","68,259,600","","","","","","","","","","","","","","","","59,042,500","","","","-","","","","","","4,451,900","29,506,700","","","","","158,884,700","","","","","","","","","","","","","135,505,500","81,637,600","139,958,600","","","","","","","","130,842,500","83,399,800","59,961,600","","","","66,583,300","","","124,292,600","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","172,691,600","","","","","","","27,603,600","","","48,588,700","","","","","","","61,461,900","","","","","63,413,700","47,645,900","","92,470,400","","","","42,051,700","78,106,300","","101,905,900","","81,792,600","","","","53,360,200","","","59,116,300","","78,445,200","102,223,500","","84,714,400","66,017,500","","113,385,300","60,842,100","83,223,500","","165,780,500","133,664,300","67,129,600","192,879,400","","153,177,300","","124,103,400","","98,059,400","","","","64,384,500","","144,403,500","185,881,800","","159,696,200","181,867,000","","","","","","","","","","","243,885,000","","268,457,100","227,331,500","","","165,078,300","97,958,900","51,887,800","86,724,000","72,976,400","291,104,700","","195,605,600","","","","","","111,375,400","75,006,200","95,364,000","84,485,400","91,655,900","103,880,900","75,829,100","185,714,000","","145,052,100","","","","153,307,900","","97,850,500","144,705,400","177,446,100","134,119,300","117,164,500","63,543,500","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
"    No workers (dollars)","","932,800","","","","","","","","","","","","","","","","-","","","","-","","","","","","-","1,163,000","","","","","12,272,600","","","","","","","","","","","","","13,366,700","-","3,751,900","","","","","","","","4,283,100","2,360,100","2,490,000","","","","1,629,000","","","5,418,800","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","2,223,700","","","","","","","998,800","","","725,200","","","","","","","1,353,700","","","","","14,973,100","3,093,200","","1,174,000","","","","1,247,700","4,380,700","","9,078,400","","4,400,200","","","","1,770,500","","","1,365,400","","7,049,300","5,274,300","","2,675,900","1,549,600","","4,410,000","2,084,400","3,077,100","","12,695,000","4,410,300","915,400","12,638,900","","4,917,200","","7,534,800","","1,694,600","","","","1,135,300","","1,280,500","9,592,000","","3,551,800","12,864,700","","","","","","","","","","","8,084,500","","25,462,200","2,779,000","","","6,035,100","1,268,200","2,678,500","5,532,300","2,322,900","9,286,600","","3,028,900","","","","","","1,405,000","1,532,100","1,508,400","1,344,700","3,803,000","2,124,300","2,929,200","8,008,000","","2,865,700","","","","11,689,700","","2,508,700","6,010,100","9,936,400","8,538,200","9,264,600","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
"    1 worker (dollars)","","7,817,600","","","","","","","","","","","","","","","","14,620,600","","","","-","","","","","","-","7,977,400","","","","","72,882,900","","","","","","","","","","","","","63,484,000","4,354,100","37,596,800","","","","","","","","21,498,500","8,991,200","5,762,100","","","","18,534,400","","","9,504,900","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","27,253,500","","","","","","","2,779,900","","","15,174,100","","","","","","","11,416,200","","","","","10,772,500","11,239,500","","10,701,300","","","","12,906,300","15,573,500","","12,330,200","","13,182,800","","","","14,180,200","","","16,901,700","","21,188,200","13,665,900","","14,531,500","17,145,300","","25,770,100","9,919,800","8,181,400","","23,565,400","18,349,300","11,119,300","20,459,600","","15,741,300","","32,603,200","","13,779,500","","","","13,377,700","","23,416,400","41,416,400","","25,201,900","45,349,900","","","","","","","","","","","71,136,400","","40,679,100","25,925,000","","","29,568,400","18,158,900","5,035,200","9,304,100","7,763,700","40,410,200","","64,778,400","","","","","","12,153,600","11,961,300","15,824,100","8,988,500","22,504,000","33,214,100","22,474,800","13,885,300","","35,144,700","","","","26,622,400","","19,760,700","21,184,200","15,295,500","18,586,800","34,325,200","12,081,500","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
"    2 workers, both spouses worked (dollars)","","26,543,600","","","","","","","","","","","","","","","","32,269,200","","","","-","","","","","","4,451,900","20,366,300","","","","","73,729,200","","","","","","","","","","","","","58,654,800","77,283,500","76,750,100","","","","","","","","30,660,300","32,724,300","30,622,600","","","","8,039,800","","","66,100,800","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","103,881,000","","","","","","","14,881,100","","","12,851,900","","","","","","","14,528,900","","","","","17,414,300","9,298,900","","15,137,000","","","","7,322,700","11,216,200","","48,334,900","","38,562,700","","","","13,330,900","","","8,417,000","","16,814,800","26,183,300","","29,171,300","12,193,000","","12,200,700","5,156,100","13,292,000","","83,578,200","43,651,200","31,506,900","91,228,000","","51,429,800","","26,846,200","","16,938,500","","","","18,191,500","","87,427,000","63,083,700","","67,404,300","93,014,600","","","","","","","","","","","102,271,100","","155,635,900","90,523,900","","","44,182,100","31,367,500","22,742,100","39,549,200","37,867,000","100,808,700","","37,946,400","","","","","","27,395,600","19,558,600","26,541,200","25,339,500","28,674,400","40,342,900","18,050,900","42,249,300","","35,114,100","","","","24,297,600","","30,140,800","63,919,200","103,482,700","33,768,300","48,110,100","30,061,300","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
"    2 workers, other (dollars)","","3,750,500","","","","","","","","","","","","","","","","12,152,800","","","","-","","","","","","-","-","","","","","-","","","","","","","","","","","","","-","-","2,211,100","","","","","","","","20,740,000","13,767,000","4,667,300","","","","15,481,500","","","19,860,800","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","25,648,600","","","","","","","4,372,300","","","14,391,400","","","","","","","15,075,300","","","","","11,843,100","19,147,200","","17,103,500","","","","14,539,200","11,102,500","","11,431,500","","8,045,600","","","","10,521,100","","","10,580,700","","10,185,200","33,774,100","","19,946,300","12,655,200","","17,419,600","25,664,100","30,071,900","","7,283,100","24,875,900","10,870,100","14,264,200","","27,185,600","","22,633,200","","22,424,300","","","","10,999,600","","14,333,700","18,096,600","","32,211,800","2,634,500","","","","","","","","","","","12,234,000","","15,101,400","14,053,900","","","10,550,400","18,787,700","9,572,100","4,291,900","4,591,800","57,309,300","","40,322,900","","","","","","12,690,200","3,019,700","16,417,800","11,582,200","13,092,800","5,224,700","12,307,900","23,738,100","","27,289,500","","","","28,165,600","","10,774,500","23,437,600","12,311,500","15,735,200","5,813,000","2,763,400","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
"    3 or more workers, both spouses worked (dollars)","","29,215,000","","","","","","","","","","","","","","","","-","","","","-","","","","","","-","-","","","","","-","","","","","","","","","","","","","-","-","19,648,700","","","","","","","","33,428,900","7,301,000","6,338,800","","","","12,561,700","","","16,825,400","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","13,684,900","","","","","","","-","","","-","","","","","","","6,847,800","","","","","5,518,100","-","","34,569,200","","","","-","21,995,800","","6,901,300","","8,167,600","","","","10,201,200","","","9,118,800","","7,553,900","7,410,700","","11,452,100","3,195,800","","31,222,500","6,736,800","18,305,300","","31,234,100","28,465,200","5,077,900","48,559,500","","26,051,000","","29,214,400","","22,802,100","","","","16,307,000","","11,686,700","45,683,500","","26,492,700","28,003,400","","","","","","","","","","","50,159,100","","31,578,600","85,974,400","","","50,600,800","16,857,500","3,975,700","21,004,900","13,029,200","28,443,300","","43,144,100","","","","","","31,061,800","30,466,800","23,221,100","25,118,500","18,749,400","12,701,200","11,022,100","60,257,100","","36,880,500","","","","41,345,800","","31,626,900","14,242,700","23,392,700","44,730,300","14,308,900","12,653,900","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
"    3 or more workers, other (dollars)","","-","","","","","","","","","","","","","","","","-","","","","-","","","","","","-","-","","","","","-","","","","","","","","","","","","","-","-","-","","","","","","","","20,231,600","18,256,200","10,080,900","","","","10,336,900","","","6,581,900","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","-","","","","","","","4,571,500","","","5,446,100","","","","","","","12,240,200","","","","","2,892,600","4,867,100","","13,785,300","","","","6,035,800","13,837,600","","13,829,500","","9,433,600","","","","3,356,200","","","12,732,600","","15,653,800","15,915,100","","6,937,100","19,278,500","","22,362,300","11,280,900","10,295,800","","7,424,700","13,912,400","7,640,000","5,729,200","","27,852,300","","5,271,500","","20,420,400","","","","4,373,500","","6,259,200","8,009,700","","4,833,800","-","","","","","","","","","","","-","","-","8,075,300","","","24,141,500","11,519,100","7,884,300","7,041,600","7,401,800","54,846,600","","6,385,000","","","","","","26,669,200","8,467,700","11,851,400","12,112,100","4,832,300","10,273,700","9,044,200","37,576,300","","7,757,700","","","","21,186,900","","3,038,800","15,911,500","13,027,200","12,760,600","5,342,700","5,983,500","","-","-","-","-","-","-","-","-","-","-","-","-","-","","-","-"
