"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","602,704","±4,124"
"    Under .50","69,496","±6,443"
"    .50 to .74","28,635","±4,137"
"    .75 to .99","31,984","±4,368"
"    1.00 to 1.24","31,515","±5,093"
"    1.25 to 1.49","23,137","±3,815"
"    1.50 to 1.74","22,564","±4,607"
"    1.75 to 1.84","7,212","±2,187"
"    1.85 to 1.99","11,651","±2,800"
"    2.00 to 2.99","81,220","±6,600"
"    3.00 to 3.99","70,021","±6,730"
"    4.00 to 4.99","53,876","±5,385"
"    5.00 and over","171,393","±9,480"
