"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","612,873","±4,464"
"    Under .50","74,083","±7,353"
"    .50 to .74","29,459","±5,180"
"    .75 to .99","35,083","±4,681"
"    1.00 to 1.24","30,889","±4,578"
"    1.25 to 1.49","29,696","±4,634"
"    1.50 to 1.74","25,358","±4,198"
"    1.75 to 1.84","7,013","±2,293"
"    1.85 to 1.99","12,669","±3,143"
"    2.00 to 2.99","72,583","±5,872"
"    3.00 to 3.99","69,282","±6,988"
"    4.00 to 4.99","49,543","±5,119"
"    5.00 and over","177,215","±7,400"
