"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","651,689","±5,184"
"    Under .50","55,701","±5,962"
"    .50 to .74","28,391","±6,045"
"    .75 to .99","27,350","±5,201"
"    1.00 to 1.24","21,363","±5,416"
"    1.25 to 1.49","20,578","±4,338"
"    1.50 to 1.74","24,120","±4,137"
"    1.75 to 1.84","6,532","±2,956"
"    1.85 to 1.99","12,831","±3,994"
"    2.00 to 2.99","66,312","±6,815"
"    3.00 to 3.99","72,881","±8,133"
"    4.00 to 4.99","62,387","±8,817"
"    5.00 and over","253,243","±11,986"
