"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","642,003","±3,995"
"    Under .50","61,040","±7,142"
"    .50 to .74","26,894","±4,907"
"    .75 to .99","31,991","±4,773"
"    1.00 to 1.24","22,633","±3,903"
"    1.25 to 1.49","24,033","±4,450"
"    1.50 to 1.74","29,775","±5,174"
"    1.75 to 1.84","9,943","±3,602"
"    1.85 to 1.99","13,201","±3,584"
"    2.00 to 2.99","79,381","±7,684"
"    3.00 to 3.99","67,137","±7,076"
"    4.00 to 4.99","55,643","±6,608"
"    5.00 and over","220,332","±8,924"
