"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Population 16 years and over with earnings","395,760","±5,640","195,283","±4,037","200,477","±3,863"
"Median earnings (dollars)","35,273","±1,418","40,250","±1,955","30,895","±1,143"
"Full-time, year-round workers with earnings","234,009","±5,931","123,115","±4,198","110,894","±4,001"
"    $1 to $9,999 or loss","1.3%","±0.4","1.0%","±0.5","1.6%","±0.5"
"    $10,000 to $14,999","2.1%","±0.5","2.3%","±0.8","1.9%","±0.6"
"    $15,000 to $24,999","9.4%","±1.1","9.5%","±1.6","9.3%","±1.6"
"    $25,000 to $34,999","11.0%","±1.3","10.0%","±1.6","12.2%","±1.8"
"    $35,000 to $49,999","19.4%","±1.3","17.6%","±2.1","21.5%","±1.6"
"    $50,000 to $64,999","17.3%","±1.4","15.6%","±1.9","19.1%","±1.9"
"    $65,000 to $74,999","8.8%","±0.9","8.2%","±1.3","9.3%","±1.5"
"    $75,000 to $99,999","11.9%","±1.3","13.8%","±1.6","9.7%","±1.5"
"    $100,000 or more","18.9%","±1.4","22.0%","±2.1","15.4%","±1.8"
"Median earnings (dollars)","(X)","(X)","60,270","±3,341","51,457","±844"
"Mean earnings (dollars)","74,406","±2,518","82,834","±3,725","65,049","±2,923"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","45,053","±1,951","49,189","±3,513","41,209","±982"
"        Less than high school graduate","20,410","±1,516","22,271","±3,927","17,629","±2,110"
"        High school graduate (includes equivalency)","27,539","±2,562","31,675","±1,961","22,777","±3,132"
"        Some college or associate's degree","35,552","±2,706","36,099","±3,949","34,881","±4,813"
"        Bachelor's degree","55,810","±2,748","61,191","±1,312","51,878","±1,768"
"        Graduate or professional degree","66,967","±3,383","74,934","±5,198","60,579","±2,830"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","27.6%","(X)","(X)","(X)","(X)","(X)"
