"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","628,333","±4,585"
"    Under .50","65,882","±6,344"
"    .50 to .74","27,491","±3,740"
"    .75 to .99","38,498","±5,241"
"    1.00 to 1.24","27,997","±4,280"
"    1.25 to 1.49","23,876","±5,214"
"    1.50 to 1.74","20,523","±3,333"
"    1.75 to 1.84","8,450","±2,522"
"    1.85 to 1.99","12,718","±3,739"
"    2.00 to 2.99","80,209","±7,737"
"    3.00 to 3.99","58,012","±6,544"
"    4.00 to 4.99","58,135","±5,663"
"    5.00 and over","206,542","±9,648"
