"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","402,258","±6,167","402,258","±6,167","196,249","±4,078","196,249","±4,078","206,009","±4,564","206,009","±4,564"
"    Median earnings (dollars)","49,039","±3,096","(X)","(X)","52,862","±2,673","(X)","(X)","43,406","±2,347","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","242,302","±6,220","242,302","±6,220","124,769","±4,540","124,769","±4,540","117,533","±4,673","117,533","±4,673"
"        $1 to $9,999 or loss","4,095","±1,199","1.7%","±0.5","1,744","±615","1.4%","±0.5","2,351","±938","2.0%","±0.8"
"        $10,000 to $14,999","4,257","±1,170","1.8%","±0.5","2,032","±666","1.6%","±0.5","2,225","±915","1.9%","±0.8"
"        $15,000 to $24,999","8,611","±1,784","3.6%","±0.7","4,646","±1,276","3.7%","±1.0","3,965","±1,238","3.4%","±1.0"
"        $25,000 to $34,999","16,429","±2,430","6.8%","±1.0","7,662","±1,628","6.1%","±1.3","8,767","±1,707","7.5%","±1.4"
"        $35,000 to $49,999","34,587","±3,230","14.3%","±1.3","16,982","±2,280","13.6%","±1.8","17,605","±1,950","15.0%","±1.6"
"        $50,000 to $64,999","41,497","±3,443","17.1%","±1.4","21,325","±2,843","17.1%","±2.2","20,172","±2,459","17.2%","±2.1"
"        $65,000 to $74,999","19,534","±2,364","8.1%","±1.0","8,812","±1,631","7.1%","±1.3","10,722","±1,601","9.1%","±1.4"
"        $75,000 to $99,999","38,288","±2,919","15.8%","±1.1","16,851","±2,151","13.5%","±1.7","21,437","±2,501","18.2%","±1.8"
"        $100,000 or more","75,004","±4,297","31.0%","±1.6","44,715","±3,353","35.8%","±2.2","30,289","±2,557","25.8%","±2.1"
"        Median earnings (dollars) for full-time, year-round workers with earnings","72,077","±2,166","(X)","(X)","74,407","±2,129","(X)","(X)","68,937","±3,613","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","99,604","±4,300","(X)","(X)","110,854","±6,548","(X)","(X)","87,662","±4,191","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","59,121","±3,014","(X)","(X)","62,480","±1,945","(X)","(X)","53,535","±3,441","(X)","(X)"
"        Less than high school graduate","24,140","±2,779","(X)","(X)","29,378","±7,061","(X)","(X)","19,605","±4,414","(X)","(X)"
"        High school graduate (includes equivalency)","35,616","±2,400","(X)","(X)","40,346","±2,934","(X)","(X)","27,729","±4,688","(X)","(X)"
"        Some college or associate's degree","41,580","±2,647","(X)","(X)","47,343","±8,498","(X)","(X)","36,694","±8,583","(X)","(X)"
"        Bachelor's degree","75,256","±1,942","(X)","(X)","79,918","±3,973","(X)","(X)","68,562","±4,982","(X)","(X)"
"        Graduate or professional degree","81,268","±3,280","(X)","(X)","92,527","±6,839","(X)","(X)","74,376","±3,132","(X)","(X)"
