"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error"
"Total:","653,169","±5,139"
"    Under .50","58,818","±6,018"
"    .50 to .74","24,908","±4,461"
"    .75 to .99","35,220","±6,002"
"    1.00 to 1.24","25,380","±4,816"
"    1.25 to 1.49","22,339","±5,031"
"    1.50 to 1.74","25,336","±4,123"
"    1.75 to 1.84","10,263","±4,052"
"    1.85 to 1.99","14,731","±4,360"
"    2.00 to 2.99","77,849","±9,542"
"    3.00 to 3.99","70,821","±8,035"
"    4.00 to 4.99","61,318","±8,274"
"    5.00 and over","226,186","±10,589"
