"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Population 16 years and over with earnings","395,712","±5,554","196,574","±3,544","199,138","±3,886"
"Median earnings (dollars)","32,142","±858","35,660","±2,131","30,626","±929"
"Full-time, year-round workers with earnings","226,924","±5,685","118,121","±4,448","108,803","±3,275"
"    $1 to $9,999 or loss","0.9%","±0.3","0.8%","±0.4","1.1%","±0.5"
"    $10,000 to $14,999","2.5%","±0.7","2.5%","±1.1","2.5%","±0.8"
"    $15,000 to $24,999","9.4%","±1.1","9.5%","±1.5","9.2%","±1.8"
"    $25,000 to $34,999","13.9%","±1.4","13.1%","±1.9","14.9%","±1.8"
"    $35,000 to $49,999","20.0%","±1.5","17.5%","±2.0","22.6%","±2.2"
"    $50,000 to $64,999","16.1%","±1.1","15.7%","±1.6","16.5%","±1.7"
"    $65,000 to $74,999","8.2%","±1.0","7.3%","±1.4","9.1%","±1.4"
"    $75,000 to $99,999","12.9%","±1.3","13.0%","±1.8","12.7%","±1.7"
"    $100,000 or more","16.2%","±1.1","20.6%","±2.0","11.4%","±1.2"
"Median earnings (dollars)","(X)","(X)","53,927","±2,962","49,718","±2,417"
"Mean earnings (dollars)","70,418","±2,322","76,913","±3,330","63,367","±2,726"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","41,887","±968","45,895","±2,540","40,217","±1,898"
"        Less than high school graduate","20,444","±2,420","21,682","±5,137","18,968","±3,702"
"        High school graduate (includes equivalency)","28,208","±2,402","32,032","±4,250","25,494","±2,564"
"        Some college or associate's degree","32,406","±3,153","35,250","±3,830","31,419","±2,205"
"        Bachelor's degree","54,535","±3,491","60,744","±6,519","51,377","±2,468"
"        Graduate or professional degree","66,490","±3,207","75,953","±3,482","60,400","±3,471"
"PERCENT IMPUTED","","","","","",""
"    Earnings in the past 12 months","28.9%","(X)","(X)","(X)","(X)","(X)"
